,Group,Median of Age,Mean of Age,Std of Age,Median of Starts,Mean of Starts,Std of Starts,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp_Short%,Mean of Cmp_Short%,Std of Cmp_Short%,Median of Cmp_Median%,Mean of Cmp_Median%,Std of Cmp_Median%,Median of Cmp_Long%,Mean of Cmp_Long%,Std of Cmp_Long%,Median of KP,Mean of KP,Std of KP,Median of 1/3_Expected,Mean of 1/3_Expected,Std of 1/3_Expected,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of PrgP_Expected,Mean of PrgP_Expected,Std of PrgP_Expected,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Att_C,Mean of Att_C,Std of Att_C,Median of Lost_C,Mean of Lost_C,Std of Lost_C,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of DefPen_,Mean of DefPen_,Std of DefPen_,Median of Def3rd,Mean of Def3rd,Std of Def3rd,Median of Mid_3rd,Mean of Mid_3rd,Std of Mid_3rd,Median of Att_3rd,Mean of Att_3rd,Std of Att_3rd,Median of Att_pen,Mean of Att_pen,Std of Att_pen,Median of Take-Ons_Att,Mean of Take-Ons_Att,Std of Take-Ons_Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of PrgC_cr,Mean of PrgC_cr,Std of PrgC_cr,Median of 1/3_Cr,Mean of 1/3_Cr,Std of 1/3_Cr,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of PrgR_R,Mean of PrgR_R,Std of PrgR_R,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Won,Mean of Won,Std of Won,Median of Lost,Mean of Lost,Std of Lost,Median of Won%,Mean of Won%,Std of Won%,Median of Min,Mean of Min,Std of Min
0,all,27.0,26.98997995991984,4.2584548312502255,14.0,15.420841683366733,10.998322548849899,15.0,26.138276553106213,31.016042581628188,37.0,51.589178356713425,50.52306287881684,25.0,50.93186372745491,64.69628896588502,1.4849999999999999,1.6561904761904767,0.7693961914509845,68.15,66.71428571428571,11.114779688600779,17.9,24.78809523809524,25.100803625080513,30.0,29.707936507936495,20.120756030336516,16.4,16.763265306122438,5.067697365300228,449.0,555.4468937875752,466.1428313750412,89.9,88.75270541082166,6.815771906550222,85.7,83.98937875751503,10.250267281010691,53.45,54.119028340081016,15.746372204209948,8.0,13.661322645290582,15.509924502925669,28.0,43.34068136272545,45.42322363414936,6.0,11.643286573146293,14.538310075778341,1.0,2.781563126252505,4.357330153406577,37.0,51.589178356713425,50.52306287881684,21.0,31.96392785571142,32.579940322974814,1.79,2.0530460921843683,1.4231675810440239,2.0,3.4869739478957915,4.244217736888048,0.15,0.21062124248496994,0.2215503397465836,17.0,24.66933867735471,22.86166012735387,10.0,14.753507014028056,14.02083084255398,17.0,22.490981963927855,20.586028200358104,8.0,11.03807615230461,10.513357019023477,11.0,15.312625250501002,13.876769069241151,2.0,5.176352705410822,7.368455637225397,8.0,10.136272545090181,9.483523385169457,7.0,11.216432865731463,11.854084857645107,725.0,839.875751503006,632.9083190752076,31.0,94.91182364729458,177.37048626553758,157.0,278.1583166332665,311.25992990074906,277.0,357.49699398797594,319.9459754392624,133.0,212.49899799599197,212.20864150433283,20.0,34.64128256513026,41.498603779173095,14.0,25.531062124248496,31.548275894600575,44.9,46.449339207048425,22.521861579596663,43.8,42.48017621145367,21.600448731434827,399.0,470.67134268537075,364.4325073453807,1029.0,1306.679358717435,1110.5824412577888,15.0,26.138276553106213,31.016042581628188,13.0,17.587174348697395,18.425741440228446,2.0,8.140280561122244,14.409820694625171,12.0,19.070140280561123,19.705795178954347,8.0,13.202404809619239,14.899432424584365,482.0,549.7555110220441,427.41378841915315,25.0,50.93186372745491,64.69628896588502,12.0,15.529058116232465,13.980790655181318,10.0,15.056112224448897,14.93845666948548,1.0,2.382765531062124,3.992435564172646,9.0,24.585170340681362,36.16698027718825,45.0,58.3186372745491,47.05163225370236,10.0,18.220440881763526,21.579020355056617,13.0,18.18637274549098,18.73840564331856,50.0,48.91930894308942,21.95417772735751,1318.0,1382.7815631262524,932.2650819982556
1,Arsenal,27.5,26.727272727272727,3.9542842128966447,16.5,17.5,10.39574088612392,23.0,35.31818181818182,32.69685635629847,56.5,77.0,62.4431169717116,52.0,75.95454545454545,77.48823399024143,0.89,0.89,,74.1,74.1,,34.3,34.3,,30.9,27.861904761904754,16.67769397100439,15.0,14.642857142857142,4.969262664477641,468.5,717.6818181818181,560.3350516698649,91.75,90.88636363636364,4.674683126979019,86.3,84.95454545454544,7.859463647805035,53.349999999999994,55.31818181818183,9.762495600322715,10.0,17.5,17.781076082922166,40.5,58.09090909090909,52.91854395551992,9.0,18.272727272727273,18.49371017447056,1.5,3.0,3.625307868699863,56.5,77.0,62.4431169717116,25.0,39.86363636363637,34.142970348849616,2.24,2.4500000000000006,1.4035600993120858,3.0,5.0,5.597618541248888,0.24,0.29227272727272735,0.299474648234312,19.5,24.636363636363637,20.726209435778593,12.0,14.681818181818182,12.635499363137344,21.0,21.363636363636363,14.85660172174696,11.0,10.636363636363637,7.575307345928704,10.0,13.681818181818182,11.167070484395772,1.5,4.409090909090909,6.835893301495952,7.5,9.272727272727273,7.88719165532271,6.0,9.636363636363637,8.866982385421583,771.5,1008.9545454545455,673.6841479275218,25.0,75.81818181818181,170.01334299559198,125.0,254.45454545454547,337.02631341000057,296.0,439.0,390.8871472749672,225.0,323.09090909090907,237.02399096794466,38.5,53.77272727272727,50.36148549019598,23.5,30.59090909090909,29.146034755886472,44.65,49.26818181818182,22.443248775175483,36.4,37.404545454545456,18.05748696518526,427.0,593.2727272727273,410.1600363410061,1358.0,1677.6363636363637,1143.7038638295003,23.0,35.31818181818182,32.69685635629847,19.5,21.954545454545453,18.367873798531715,4.5,12.136363636363637,15.458994775874642,15.5,20.136363636363637,15.944234529089648,13.5,15.863636363636363,13.52350847174214,552.0,710.8636363636364,492.201884195088,52.0,75.95454545454545,77.48823399024143,14.0,16.954545454545453,11.273556386210767,17.0,17.045454545454547,12.403829181143148,2.0,3.5454545454545454,3.6868785704269667,11.0,32.18181818181818,42.69006393110179,49.5,59.68181818181818,41.36755844589927,10.5,19.90909090909091,19.786741811504783,15.5,19.363636363636363,17.646112358966818,51.15,47.82727272727272,19.01468559819668,1478.5,1564.4545454545455,902.9764921937589
2,Aston Villa,28.0,27.285714285714285,4.035556254807296,9.5,13.75,11.660712766474536,16.5,23.785714285714285,23.6601824338747,34.0,44.17857142857143,48.1994725431633,21.0,43.75,51.99617151148584,1.6800000000000002,1.6800000000000002,0.4525483399593903,61.150000000000006,61.150000000000006,7.848885271170679,58.8,58.8,58.265598769771515,27.8,29.023999999999997,21.701061417973698,16.7,16.887999999999995,4.488812018043675,402.5,491.0,427.63665781959236,91.45,90.07142857142857,5.500024049971469,86.45,86.43928571428572,7.728462991542382,53.9,54.48571428571428,15.355026063046113,6.5,12.107142857142858,14.937745592499672,23.5,38.0,46.91047423116284,7.5,10.5,12.671051872498808,0.0,1.8571428571428572,3.6989917116073245,34.0,44.17857142857143,48.1994725431633,20.0,28.642857142857142,29.93352423313822,1.825,2.1085714285714285,1.379749613049047,2.0,3.4285714285714284,3.881853045748006,0.18,0.2310714285714286,0.20994424807931103,10.5,21.392857142857142,20.55226271351898,6.0,12.321428571428571,12.516814088282807,10.5,18.214285714285715,19.028939253161987,5.5,7.964285714285714,8.234894781567768,10.0,10.857142857142858,9.151863949852716,2.5,3.607142857142857,4.314826168888484,5.5,7.25,6.369051327695108,5.0,8.071428571428571,8.379554356702464,655.0,721.4642857142857,574.5980548202149,30.0,86.96428571428571,191.6212472064421,133.0,242.96428571428572,300.24082705855346,244.0,308.7142857142857,300.822065919233,117.5,176.96428571428572,169.99226172864178,20.5,31.535714285714285,37.602681290190475,17.0,24.285714285714285,30.09596643683661,47.4,50.055555555555564,24.831576258610315,40.0,38.9037037037037,22.868024055797306,397.0,408.2857142857143,318.5088936653345,1086.5,1180.8214285714287,939.9880635007072,16.5,23.785714285714285,23.6601824338747,12.5,14.75,13.11099340813457,2.0,7.178571428571429,10.583192724975213,9.0,16.785714285714285,21.64076595970557,8.0,12.892857142857142,15.317236201995607,483.5,482.0357142857143,387.3446624985783,21.0,43.75,51.99617151148584,8.5,13.535714285714286,13.546851876624167,9.0,16.392857142857142,17.847791202096992,1.0,1.8214285714285714,2.868133622443431,4.5,19.964285714285715,34.23717077145631,37.5,46.75,36.89587450590588,8.0,12.428571428571429,12.179000054521813,9.5,13.857142857142858,13.903674669387561,50.0,40.370370370370374,23.99446754846777,1004.0,1235.357142857143,943.1826033597223
3,Bournemouth,26.0,26.52173913043478,3.8360676505717213,17.0,16.695652173913043,11.632379505691295,19.0,29.869565217391305,34.65322279099552,43.0,58.47826086956522,52.052307227893714,31.0,57.65217391304348,71.61171101258647,1.0,1.0833333333333333,0.14433756729740646,80.0,80.0,4.599999999999994,20.0,15.0,13.228756555322953,29.7,25.019999999999996,16.673035274453117,16.450000000000003,15.805000000000001,4.375948017587913,436.0,504.7826086956522,408.761205742617,88.0,86.84347826086957,7.089930509145059,78.3,81.62173913043479,10.801807783116638,47.8,46.66086956521738,17.887546178847316,11.0,17.782608695652176,16.55831711293899,37.0,48.21739130434783,47.725499684739844,7.0,13.217391304347826,13.869379358661526,2.0,4.043478260869565,5.530726245831021,43.0,58.47826086956522,52.052307227893714,28.0,40.78260869565217,36.34550931588152,2.35,2.5721739130434784,1.868110266654366,2.0,3.9565217391304346,4.1939161658674236,0.21,0.22826086956521738,0.20687396632893185,21.0,27.956521739130434,23.433616608449036,10.0,16.130434782608695,14.50800515021742,25.0,25.608695652173914,21.310985494969454,13.0,13.565217391304348,10.710343712999732,16.0,18.82608695652174,16.694180188733828,3.0,5.739130434782608,7.2627154407372005,8.0,13.08695652173913,12.641608943478749,10.0,14.391304347826088,15.622650020911603,783.0,852.4782608695652,626.5489801331807,44.0,90.26086956521739,153.4657845761495,159.0,257.30434782608694,280.4485748975297,316.0,365.95652173913044,322.8818357261635,133.0,239.7391304347826,238.20430829462043,19.0,39.52173913043478,48.082192474985796,16.0,27.08695652173913,32.48623910558587,41.150000000000006,43.23,19.226492139753418,45.099999999999994,42.83,19.17059425814772,483.0,458.3478260869565,342.4985213897283,1183.0,1442.0869565217392,1300.3993062637435,19.0,29.869565217391305,34.65322279099552,17.0,21.08695652173913,20.42706102537483,1.0,9.08695652173913,16.02813731444646,18.0,23.52173913043478,21.605701194607686,8.0,14.08695652173913,17.222905053968788,435.0,499.69565217391306,370.4772640285168,31.0,57.65217391304348,71.61171101258647,16.0,20.52173913043478,17.98451244118215,10.0,15.608695652173912,13.894862132309528,0.0,2.739130434782609,5.074153680479389,10.0,32.95652173913044,41.37245269375788,59.0,73.21739130434783,57.25378631523709,20.0,23.17391304347826,21.29586424618862,22.0,24.608695652173914,20.979945251758842,47.0,50.18181818181818,18.40014586804594,1670.0,1494.608695652174,1004.3940615266696
4,Brentford,25.0,26.333333333333332,3.890158522905376,21.0,18.333333333333332,13.297869503545797,12.0,25.857142857142858,32.37635821751068,52.0,58.285714285714285,54.49416744674871,27.0,57.57142857142857,77.18003072594065,1.385,1.385,0.2050609665440988,61.55,61.55,16.334166645409244,58.8,58.8,58.265598769771515,34.8,30.88888888888889,17.79801340166232,15.3,15.933333333333328,4.311680442158732,489.0,582.2380952380952,445.78513936221617,87.7,86.79523809523809,7.669255256573235,79.9,82.28571428571429,9.731355800415773,55.0,54.842857142857135,13.492574677524354,9.0,14.523809523809524,17.53744293681108,42.0,48.095238095238095,40.91931666328845,7.0,14.0,18.700267377767624,2.0,3.9047619047619047,5.271667306505238,52.0,58.285714285714285,54.49416744674871,21.0,34.095238095238095,35.68880043081409,1.72,1.8747619047619046,1.1583161012764134,2.0,5.0,5.822370651203855,0.2,0.2790476190476191,0.27171501176609225,25.0,27.523809523809526,22.234250712850766,17.0,16.523809523809526,12.890380318745631,26.0,25.476190476190474,20.602473268078878,11.0,11.857142857142858,10.518011762142663,17.0,21.19047619047619,19.307042879786245,4.0,8.714285714285714,12.942730999069928,13.0,12.476190476190476,10.385658609924782,8.0,12.761904761904763,12.300019357321199,804.0,937.047619047619,669.6892171888745,52.0,145.57142857142858,290.90867491853373,232.0,366.4761904761905,421.08082585741414,348.0,349.04761904761904,279.64378702028694,160.0,230.04761904761904,234.92093908174215,24.0,43.0,47.19110085598767,13.0,27.333333333333332,33.91066695500596,46.5,48.76315789473685,19.880090837214663,42.1,42.09473684210527,16.47629521748039,410.0,493.6666666666667,361.55391483613244,1204.0,1371.5714285714287,1143.6432822969134,12.0,25.857142857142858,32.37635821751068,11.0,15.952380952380953,18.816153141586064,1.0,9.19047619047619,17.531739923975167,14.0,23.285714285714285,26.448332380592277,8.0,12.571428571428571,13.544635205761093,497.0,573.5238095238095,410.8683023850366,27.0,57.57142857142857,77.18003072594065,12.0,13.333333333333334,10.82281540696936,10.0,15.047619047619047,14.57901296547949,1.0,2.9523809523809526,4.477456761111049,14.0,29.523809523809526,45.98545318643609,50.0,71.0,55.45087916345421,12.0,27.523809523809526,31.921182696790932,14.0,23.952380952380953,23.96137765337417,55.5,54.88571428571429,19.609826254056554,1913.0,1638.095238095238,1122.0364479267998
5,Brighton,25.0,26.142857142857142,5.169098250137709,10.0,13.75,10.127428835336973,18.5,26.357142857142858,30.01384160401144,40.0,49.785714285714285,50.207980141022105,27.0,49.464285714285715,62.59362299956474,1.085,1.085,0.8273149339882605,69.85,69.85,7.283199846221438,34.1,34.1,22.485995641732213,29.3,30.565384615384612,21.94210459017443,16.5,17.457692307692305,3.8228966061794636,343.0,517.2142857142857,488.97529719796813,90.3,89.52857142857144,6.1105771772520345,82.1,81.2642857142857,10.622276183697698,52.55,54.04642857142856,15.593647380402656,9.5,11.892857142857142,10.064014682739266,23.0,38.642857142857146,48.632571226771304,7.5,10.928571428571429,10.509003446528764,1.0,2.857142857142857,3.8172540616821102,40.0,49.785714285714285,50.207980141022105,24.0,29.964285714285715,23.638452889866862,2.8099999999999996,2.4699999999999998,1.219735854829051,3.0,3.5357142857142856,3.0121008155025826,0.28500000000000003,0.2978571428571429,0.27518824725734825,16.5,22.642857142857142,19.76194301009877,10.0,13.821428571428571,12.092402179723866,18.0,22.857142857142858,18.713659668837042,9.0,11.714285714285714,9.160531857667648,12.0,14.428571428571429,12.257812539518143,2.0,4.0,5.450110430413654,9.5,10.428571428571429,9.949608484493698,8.5,10.357142857142858,9.945087325145108,644.5,775.75,627.333665426763,23.5,85.67857142857143,197.215440303694,121.5,247.39285714285714,328.1287393336944,229.0,337.5,329.7354158176589,149.0,199.46428571428572,179.5109574996297,17.0,34.57142857142857,42.02770565148712,12.5,26.678571428571427,31.832959359558476,43.8,45.529629629629625,21.19547874166373,46.2,46.42222222222221,20.502689004378336,377.0,455.5,391.5661336696996,1092.0,1366.392857142857,1430.1862696421806,18.5,26.357142857142858,30.01384160401144,16.0,18.571428571428573,18.6238170321382,3.0,8.5,14.995060915243121,10.5,18.892857142857142,19.16079965414396,7.0,11.5,12.366322247375164,417.0,511.25,430.0699878443559,27.0,49.464285714285715,62.59362299956474,11.0,14.607142857142858,12.464287609344773,8.0,13.678571428571429,14.560356048324099,1.0,1.4642857142857142,1.835496559257908,10.0,22.535714285714285,27.83879805682489,40.5,53.07142857142857,44.24755994229016,12.0,17.25,18.542493739356477,11.0,15.678571428571429,14.81754108513028,53.8,50.05925925925926,20.09338312937982,929.5,1233.8214285714287,890.9927070230451
6,Chelsea,24.0,24.307692307692307,2.54195563720897,11.5,14.807692307692308,11.79158761412298,11.0,31.192307692307693,41.09892381147636,34.5,57.53846153846154,63.00300359140396,11.5,56.80769230769231,76.25746873888183,1.3,1.3,0.28284271247461895,73.85,73.85,3.464823227814077,22.15,22.15,7.70746391493337,33.3,29.882608695652166,21.680314744736293,15.0,15.073913043478266,4.556236224950305,521.0,648.7307692307693,587.2944445636998,91.9,91.06538461538463,5.697082924282729,90.7,88.54230769230769,7.3022283216521275,57.5,57.15384615384615,17.983575412453014,6.5,16.807692307692307,21.85043565839222,27.5,53.88461538461539,58.51244443574507,4.0,12.807692307692308,17.11611925821792,0.0,2.730769230769231,5.488589562411766,34.5,57.53846153846154,63.00300359140396,15.0,38.96153846153846,47.7505859811004,1.72,2.316538461538461,1.678706507541309,2.5,4.076923076923077,4.706787243316417,0.23,0.25346153846153846,0.242684030091678,11.0,20.73076923076923,23.8839824021166,8.5,13.0,14.767531953579786,11.5,19.384615384615383,22.59925117888099,5.5,9.692307692307692,12.10873810359851,9.0,12.653846153846153,13.841798460293539,1.5,3.730769230769231,5.632460864010986,5.5,8.923076923076923,10.071437144412219,7.5,9.923076923076923,11.471436098145958,744.5,902.2307692307693,767.0820716294864,20.0,85.0,179.55968367091762,126.5,271.61538461538464,334.7028624823011,267.5,407.03846153846155,412.558212209548,92.5,231.26923076923077,258.923086292792,12.0,40.84615384615385,52.00514767420034,13.0,27.76923076923077,34.050912107968784,45.05,45.99166666666667,20.566581518626737,40.0,39.59583333333333,22.1119381323984,405.5,522.6153846153846,421.20769954245395,1016.0,1491.1538461538462,1199.768434067431,11.0,31.192307692307693,41.09892381147636,9.5,17.423076923076923,19.233664397452873,1.0,11.576923076923077,21.692714126034257,6.0,16.346153846153847,19.88756859486309,5.5,10.76923076923077,12.054236408193404,523.0,643.4230769230769,538.6618362629321,11.5,56.80769230769231,76.25746873888183,8.0,15.461538461538462,16.147397980432064,10.5,15.884615384615385,16.907576817691936,1.0,2.3461538461538463,4.629836348661215,3.0,23.692307692307693,40.59632419889193,38.0,55.92307692307692,51.396438068740196,9.5,14.26923076923077,16.57602531925598,8.5,13.846153846153847,14.69337893799056,42.1,46.871999999999986,26.271919736986614,1046.5,1329.5,1029.0452371008769
7,Crystal Palace,27.0,27.130434782608695,3.251633824655579,16.0,16.73913043478261,13.239807027240882,11.0,19.956521739130434,22.424577143818148,35.0,46.26086956521739,39.804313826638015,10.0,45.34782608695652,63.34652799242948,1.37,1.37,,67.1,67.1,,28.6,28.6,,34.0,32.45454545454546,22.951848712192213,18.549999999999997,18.44545454545454,5.7686118882174,459.0,479.7391304347826,398.94773152647275,85.2,84.62173913043478,6.299852561170788,82.5,80.55652173913042,10.417634790320975,46.7,50.15217391304348,17.95375042018234,6.0,14.73913043478261,16.156106054549465,27.0,36.08695652173913,32.01407793097829,4.0,11.0,12.558951896048997,1.0,2.782608695652174,4.263550822102186,35.0,46.26086956521739,39.804313826638015,26.0,34.43478260869565,35.42575602190192,1.95,2.0582608695652174,1.5225237785093808,3.0,3.3043478260869565,3.430276726296631,0.13,0.15782608695652173,0.16596704277818997,20.0,30.52173913043478,29.840286321465406,12.0,18.043478260869566,18.755552537532513,23.0,26.08695652173913,22.3035118381883,13.0,13.0,10.17572869849892,16.0,19.217391304347824,18.21826386733711,2.0,5.608695652173913,6.820684652616245,10.0,13.608695652173912,13.020051425798394,11.0,13.08695652173913,14.330238352005749,851.0,819.0434782608696,640.2672366967965,24.0,101.8695652173913,209.43936079400734,177.0,305.2173913043478,359.58258079482545,333.0,341.4347826086956,276.59748011850206,80.0,180.2173913043478,187.885834901202,15.0,31.434782608695652,36.00988006715092,10.0,19.434782608695652,29.188768211819426,40.0,41.88,23.664310236036215,45.55,47.96999999999999,26.273642986641075,427.0,410.7391304347826,321.21307249964786,916.0,1013.8695652173913,809.2890990553391,11.0,19.956521739130434,22.424577143818148,9.0,14.08695652173913,14.125776063888123,1.0,4.782608695652174,7.317205885875058,15.0,19.82608695652174,20.97542322449395,7.0,13.434782608695652,14.298207411345858,523.0,475.60869565217394,362.05897800953954,10.0,45.34782608695652,63.34652799242948,11.0,16.608695652173914,16.163199307615667,18.0,16.391304347826086,15.987890674549407,1.0,2.9130434782608696,4.776010540172823,7.0,24.608695652173914,32.13287629718876,56.0,67.04347826086956,55.06151787762613,11.0,20.608695652173914,22.118974023622965,17.0,25.91304347826087,25.794490326914705,43.6,43.33478260869565,21.60049681027251,1424.0,1498.8695652173913,1124.099490272823
8,Everton,26.0,27.782608695652176,5.1430139884483586,15.0,16.73913043478261,10.955353159339493,12.0,19.434782608695652,20.47354409732566,37.0,41.608695652173914,35.7564223480263,24.0,40.73913043478261,40.92922648948632,1.23,1.23,,71.1,71.1,,28.6,28.6,,35.7,32.55238095238095,23.156783434830043,17.3,17.271428571428572,5.332555002730197,420.0,453.39130434782606,345.2039896443886,86.2,84.88695652173912,7.653715933383782,83.1,78.98260869565217,13.35748520744806,55.3,56.42173913043479,15.486415059121953,8.0,11.782608695652174,9.908474434172408,35.0,40.17391304347826,35.10329196413589,8.0,10.391304347826088,10.232475619919795,1.0,3.652173913043478,5.296728798832298,37.0,41.608695652173914,35.7564223480263,25.0,28.130434782608695,19.87758982057681,1.72,1.7991304347826087,1.1270634129271047,2.0,2.4347826086956523,2.106830600182562,0.1,0.17217391304347826,0.17451117499354718,24.0,29.73913043478261,28.108907341566283,13.0,17.47826086956522,16.88966753862306,23.0,26.304347826086957,22.50138335668336,8.0,12.652173913043478,11.436022415842501,11.0,15.695652173913043,14.366738045058662,3.0,5.608695652173913,9.252710317595806,7.0,10.08695652173913,8.617703994358784,9.0,13.304347826086957,13.02596980374449,688.0,775.0434782608696,524.2985338232122,31.0,97.43478260869566,213.71430081195197,144.0,277.04347826086956,356.65637629374885,298.0,314.0869565217391,239.23037832399856,157.0,192.2173913043478,147.10044698088544,18.0,28.782608695652176,26.198467203148862,16.0,26.0,29.672454321382745,46.6,44.75454545454545,20.45538064672954,45.75,47.83181818181819,21.530031879383568,356.0,379.82608695652175,253.8481385993518,743.0,1010.1739130434783,826.7089546219842,12.0,19.434782608695652,20.47354409732566,10.0,14.565217391304348,11.71566972033812,2.0,4.869565217391305,7.014947338790784,12.0,20.73913043478261,20.251189395607334,11.0,15.608695652173912,14.339199706446097,428.0,449.04347826086956,285.2605632273875,24.0,40.73913043478261,40.92922648948632,15.0,17.52173913043478,13.796803204225482,14.0,14.956521739130435,12.7367694664969,1.0,3.347826086956522,6.205633039660409,7.0,27.47826086956522,36.37540323452522,51.0,60.95652173913044,47.49686904596934,11.0,24.347826086956523,29.10265326181567,15.0,22.608695652173914,23.494175545972674,50.0,46.247826086956515,21.215021898414285,1324.0,1501.0869565217392,935.4977242595846
